"id","nome","ano_lancamento","dev_publisher","plataforma","genero","engine_tech","status_codigo","metodo_modificacao","dificuldade","esforco_horas","viabilidade_claude","raciocinio_dificuldade","dilemas_compativeis","aderencia_psyfun","exemplo_concreto","popularidade","idade_publico","requisitos_tecnicos","custo_licencas","risco_tos","links","imagens","observacoes","fonte_agente"
"angry-birds-clones","Angry Birds clones (FOSS)","2014","various","web","physics-puzzle","Phaser + Matter","open-source","code-fork","2","S","5","Inúmeros clones didáticos.","PG","4","Slingshot base.","Angry Birds 3B+ downloads","all-ages","Phaser, Matter","grátis","2","https://github.com/topics/angry-birds-clone","","Marca Rovio — estética genérica","html5-web"
"cardsandbox","Card Sandbox (generic card game framework FOSS)","2020","community","web","card-framework","React + TS","open-source","template-engine","2","S","5","Genérico.","TG|PD","4","Qualquer card game custom com dilema.","vários","all-ages","React","grátis","1","https://github.com/topics/card-game","","Categoria","html5-web"
"hearts-spades-web","Hearts / Spades FOSS web","2015","community","web","card","Node + JS","open-source","code-fork","2","S","5","Clones trick-taking abundam.","PG|BG","4","Team card games já têm coop partner.","default Windows 90s","all-ages","Node","grátis","1","https://github.com/topics/hearts-game","","Trick-taking","html5-web"
"blade-runner-raspirin","Dudes (simple 2-player arena)","2020","community","web","arena","Phaser","open-source","code-fork","2","S","5","2-player small.","PD","4","Arena com escolha binária.","nicho","10+","Phaser","grátis","1","https://github.com/topics/arena-game","","Categoria","html5-web"
"parabel","Parable of the Polygons (Nicky Case)","2014","Nicky Case + Vi Hart","web","educational-sim","JS","open-source","code-fork","2","S","5","MIT.","CG","4","Segregation sim — decision rules individuais.","viral educativo","10+","JS","grátis","1","https://github.com/ncase/polygons","","Referência educativa","html5-web"
"chatroom-games","Text-chat social deduction (Wolvesville-like)","2018","community","web","text-social","Node + WebSocket","open-source","code-fork","2","S","5","Trivial.","PD|TG","4","Chat-based social game.","nicho","13+","Node","grátis","1","https://github.com/topics/social-deduction","","Categoria","html5-web"
"tanks-websocket","Multiplayer Tanks (websocket tutorial)","2018","community","web","shooter","Canvas + WebSocket","open-source","template-engine","2","S","5","Tutorial simples.","PG|PD","4","Team FFA tanks.","muitos","10+","Node","grátis","1","https://github.com/topics/tank-battle","","Categoria","html5-web"
"curve-fever","Curve Fever / Achtung die Kurve clones","2016","community","web","arcade-multiplayer","Canvas","open-source","code-fork","2","S","5","Simples, linhas que crescem. Clones abundam.","SD|PD","4","Decidir bloquear caminho adversário (trair) vs preservar espaço comum (cooperar).","Curve Fever 10M+ jogadores","all-ages","JS","grátis","1","https://github.com/topics/achtung-die-kurve","","Bom PsyFun fit","html5-web"
"mari0","Mari0","2012","Stabyourself","windows|mac|linux","platformer","Löve2D","open-source","code-fork","2","S","5","Löve2D, Lua, source MIT-esque no GitHub (Stabyourself/mari0). 4-player local co-op já embutido. Ponto perfeito pra enxertar decisão binária em cada level.","PG|SH|CPG","4","Modificar level pra que 2 jogadores possam ir por rota A (caça cooperativa - Stag) ou rota B fácil individual (Hare). Portal gun permite mecânica elegante.","itch.io/stabyourself ~500k downloads; PC Gamer cover","all-ages","Löve2D 11.x, Lua","gratuito","2","https://stabyourself.net/mari0/ | https://github.com/Stabyourself/mari0 | http://stabyourself.net/mari0/","","Nintendo IP ambígua — usar para pesquisa acadêmica é defensável mas não distribuir","itch-source|open-source"
"pico-8-jam-games","PICO-8 Jam Games (collectively)","2015","Lexaloffle + comunidade","web|windows|mac|linux","fantasy-console-engine","PICO-8 Lua","source-available","code-fork","2","S","5","Todo cart PICO-8 é open-source por design (cart é imagem PNG com code embedded). Jams semanais no itch.","PG|PD|CPG|SH","4","Fork cart 2-player local com decisão binária coop/trair","itch 100k+ PICO-8 games, 200+ jams","all-ages","PICO-8 (R$75) ou pico-8 livre via https://www.pico-8-edu.com","PICO-8 R$75","1","https://www.lexaloffle.com/pico-8.php | https://itch.io/games/tag-pico-8","","Plataforma-mãe de ~50 jogos específicos desta lista","itch-source"
"teletype-battle","Teletype Battle","2019","jam community","web","programming-battle","JavaScript","open-source","code-fork","2","S","5","Jogo de escrever código que luta — fork para inserir hook de comportamento coop/competitivo","PD","4","2 bots escritos pelos jogadores; cada turno decidem cooperate/defect; payoff iterado","jam","13+","JS","gratuito","1","https://itch.io/jam/js13k-2019","","","itch-source"
"ld-compo-cooperation","Ludum Dare Compo — cooperation themes","2020","various","web|windows|mac|linux","jam-collection","varies","open-source","code-fork","2","S","5","LD Compo OBRIGA source release em 48h. Multiple eventos tiveram tema cooperação (LD37 'One Room', LD44 'Your life is currency')","PD|PG|TG","4","LD44 'your life is currency' — vários entries já simulam trade-off pessoal","LD compo 1500-3000 entries/evento","all-ages","varies","gratuito","1","https://ldjam.com/events","","Filtrar por rating de Innovation + Fun + 2-player","itch-source"
"tic80-games","TIC-80 fantasy console games","2017","Vadim Grigoruk + comunidade","web|windows|mac|linux","fantasy-console","TIC-80/Lua/JS/Moon","open-source","code-fork","2","XS","5","MIT, Lua default. Carts são transparentes, 100% source-visible. Jams recorrentes.","PD|PG|CPG|SH","4","Muitas carts 2-player local — adaptar uma pra coop/trair","itch 2k+ TIC-80 games","all-ages","TIC-80 free","gratuito MIT","1","https://tic80.com/ | https://itch.io/games/tag-tic-80","","TOP PICK plataforma","itch-source"
"microrts-jam","microRTS / RTS jam entries","2018","jam","web","rts-minimal","JS","open-source","code-fork","2","S","5","JS simples","PG|CG","4","","jam","all-ages","JS","gratuito","1","https://itch.io/games/tag-rts/tag-source-code","","","itch-source"
"keep-and-work","Keep and Work (Lockdown Jam)","2020","jam","web","party-coop","Godot","open-source","code-fork","2","S","5","Godot, coop jam 2020","PG","4","Trabalhadores produzem pra companhia compartilhada","jam","10+","Godot","gratuito","1","https://itch.io/jam/lockdown-jam","","","itch-source"
"ncase-crowds","Parable of the Polygons (Nicky Case & Vi Hart)","2014","Nicky Case","web","educational","JS","open-source","code-fork","2","S","5","CC0, JS","CG","4","Agentes Schelling segregation — demonstra emergência de commons tragedy","viral","all-ages","JS","CC0","1","https://ncase.me/polygons/ | https://github.com/ncase/polygons","","","itch-source"
"ncase-attractors","Attractors (Nicky Case)","2020","Nicky Case","web","educational","JS","open-source","code-fork","2","S","5","CC0, JS","SH","4","Demonstra bistable attractors — stag hunt","moderada","all-ages","JS","CC0","1","https://ncase.me/attractors/","","","itch-source"
"heros-trial","Hero's Trial (jam turnbased)","2021","jam","web","turnbased","Phaser","open-source","code-fork","2","S","5","Phaser JS","PD","4","Turn choice: ajudar aliado ou proteger-se","jam","10+","Phaser","gratuito","1","https://itch.io/games/tag-phaser","","","itch-source"
"jackbox-clones","Jackbox-like FOSS clones","2020","varies","web","party","JS","open-source","code-fork","2","S","5","Phone-as-controller FOSS","PG|UG","4","Voting game UG direto","jam","13+","Node","gratuito","2","https://itch.io/games/tag-party","","","itch-source"
"quadplay-games","quadplay✜ fantasy console games","2019","Morgan McGuire","web","fantasy-console","PyxlScript/JS","open-source","code-fork","2","S","5","LGPL, console com 4-controller nativo","PD|PG|SH","4","4-player coop/PvP nativo","itch nicho","all-ages","quadplay","gratuito LGPL","1","https://github.com/morgan3d/quadplay | https://morgan3d.github.io/quadplay/console/quadplay.html","","","itch-source"
"love2d-cooperation-jam","LÖVE Jam coop entries","2019","LÖVE Jam community","windows|mac|linux","jam","Löve2D","open-source","code-fork","2","S","5","","PG|SH","4","","LÖVE Jam 200+ entries","all-ages","Löve2D","gratuito","1","https://itch.io/jam/love2d-jam","","","itch-source"
"iroh-quests","Iroh / NPC trust jam games","2020","jam","web","narrative","Godot/JS","open-source","code-fork","2","S","5","","TG","4","NPC entrega item ao jogador (trust), jogador retorna (reciprocate) ou não","jam","10+","varies","gratuito","1","https://itch.io/games/tag-trust","","","itch-source"
"godot-farm-coop","Farming coop jam entries","2021","jam","web","farming","Godot","open-source","code-fork","2","S","5","","PG|CG","4","Farm shared silo — deposit or hoard","jam","all-ages","Godot","gratuito","1","https://itch.io/games/tag-farming/tag-open-source","","","itch-source"
"spread-rumors","Spread Rumors (social jam)","2021","jam","web","social","JS","open-source","code-fork","2","S","5","","TG","4","","jam","13+","JS","gratuito","1","https://itch.io/games/tag-social","","","itch-source"
"crafting-coop","Crafting Coop (itch jam)","2021","jam","web","crafting","Godot","open-source","code-fork","2","S","5","","PG","4","","jam","all-ages","Godot","gratuito","1","https://itch.io/games/tag-crafting","","","itch-source"
"ctf-coop","Capture the Flag coop jams","2020","jam","web","shooter","varies","open-source","code-fork","2","S","5","","PG|SH","4","Team flag shared — defend or attack","jam","10+","varies","gratuito","1","https://itch.io/games/tag-ctf","","","itch-source"
"dicetale","Dicetale (jam dice coop)","2022","jam","web","dice-rpg","Godot","open-source","code-fork","2","S","5","","PD","4","","jam","10+","Godot","gratuito","1","https://itch.io/games/tag-dice","","","itch-source"
"narrat","Narrat engine","2021","liana-p","web","vn-rpg-engine","Vue/JS","open-source","creative-mode-in-game","2","S","5","MIT, JS DSL para visual novels + RPG","UG|DG|PD","4","Script VN com rounds de UG direto","itch nicho dev community","10+","Narrat","gratuito","1","https://get-narrat.com/ | https://github.com/liana-p/narrat-engine","","","itch-source"
"anuto","Anuto TD","2015","Anuto Team","android","tower-defense","Java Android","open-source","code-fork","2","S","5","Tower defense Android em Java puro; codigo limpo","PG|CG|SH","4","Dois jogadores compartilhando pool de dinheiro — cada um decide construir torre individual ou contribuir para torre compartilhada mais forte (Public Goods)","F-Droid 100k+","all-ages","Android Java","GPLv3","1","https://github.com/Knickedi/anuto","","Tower defense e bom candidato a forcar coop vs comp","mobile-foss"
"tgfp","Talkie - Mobile Stories FOSS Android","2020","Varios","android","narrativa-interativa","Android Kotlin","open-source","code-fork","2","S","5","Plataforma de narrativas com escolhas; ha varios clones FOSS","PD|DG|TG|UG","4","Narrativa interativa com escolha binaria e imediato mapeamento dilema; UG/DG enxerta bem","nicho","12+","Android Kotlin","varia","2","https://github.com/topics/interactive-fiction-android","","Generico — existem varios templates","mobile-foss"
"a-light-in-the-dark","A Light in the Dark (Ren'Py Android)","2015","Dimitri Arrigoni","android|windows|linux|mac","visual-novel","Ren'Py Python","open-source","code-fork","2","S","5","Ren'Py aceita Android build; narrativa com escolhas simples de modificar","PD|UG|DG|TG","4","VN com escolhas morais — mapear direto pra Dictator/Ultimatum/Trust game via dialogos customizados","nicho, licenca livre","13+","Ren'Py Python","MIT","1","https://github.com/DimitriArrigoni/ALightInTheDark","","Template otimo pra VN-dilema","mobile-foss"
"rpgboss-mobile","RPG Boss Mobile / OpenRPG FOSS","2018","varios","android","rpg-engine","libGDX","open-source","template-engine","2","S","5","RPG engine estilo RPG Maker open","PD|TG|BG","4","RPG com NPCs de escolha — dilema via dialogo com logging","nicho","10+","libGDX","AGPL","1","https://github.com/rpgboss/rpgboss","","","mobile-foss"
"spyfall-online","Spyfall Online","2016","Adriano Cola","web","social-deduction","Node.js + JS","open-source","code-fork","2","S","5","Projeto pequeno, Node + Socket.io, fácil fork.","PD|CG","4","Spy pode revelar localização (cooperar para não ser linchado) ou continuar mentindo (trair). Modificar payoff pra dilema iterado.","spyfall.adrianocola.com — usado em universidades como demo","12+","Node.js, Socket.io","grátis","2","https://github.com/adrianocola/spyfall | https://spyfall.adrianocola.com | https://spyfall.app | https://github.com/EvanHahn/spyfall","","Autor brasileiro, fácil contato.","party-multiplayer|tabletop-digital"
"minecraft-bukkit-minigames","Minecraft Bukkit/Paper Minigames","2011","Mojang / Bukkit community","windows|mac|linux","sandbox-minigame","Java","modding-community","mod-loader-oficial","2","S","5","Paper/Bukkit plugin dev em Java, APIs maduras, docs excelentes.","PD|PG|CG|SH","4","Minigame 'Public Chest' — jogadores depositam itens num chest público (PG) ou guardam no inventário privado.","Minecraft Java 300M+ copies; Bukkit/Paper usado em quase todos servers","10+","Java, Paper API","Minecraft R$160","2","https://papermc.io | https://hub.spigotmc.org","","Público conhece, baixa barreira mental. Plugin dev é simples.","party-multiplayer"
"minecraft-uhc","Minecraft Ultra Hardcore (UHC)","2013","community","windows|mac|linux","survival-pvp","Java","open-source","mod-loader-oficial","2","S","5","Plugin simples.","PD|SH|PG","4","Aliança temporária — cooperar ou backstab na final.","SciCraft / Hermitcraft popular","10+","Java","Minecraft","2","https://github.com/topics/uhc-plugin","","Dilema de aliança bastante natural.","party-multiplayer"
"haxball","HaxBall","2010","Mário Carbajal","web","sports","JS","modding-community","api-publica","2","S","5","API Headless de Host Room oficial + scripts JS. Comunidade ativa BR.","SH|PG","4","Pass vs self-score: cooperar passando bola (PG) ou tentar gol individual.","BR tier top — milhões de partidas","7+","JS, HaxBall Headless API","grátis","1","https://github.com/haxball/haxball-issues/wiki/Headless-Host","","Público BR enorme, baixa barreira, API permite tudo.","party-multiplayer"
"coup-online","Coup (online)","2020","fan FOSS","web","social-deduction","Node.js","open-source","code-fork","2","S","5","Jogo simples, vários forks.","PD|BG|TG","4","Blefar ou falar verdade = PD. Challenge system gera TG.","nicho, várias instâncias","10+","Node.js","grátis","2","https://github.com/topics/coup-game","","Mecânica de blefe é ouro pra dilemas.","party-multiplayer"
"hypixel-bedwars-clone","BedWars (Minecraft plugin FOSS)","2015","Hypixel (original); clones FOSS","windows|mac|linux","minigame-team","Java","open-source","mod-loader-oficial","2","S","5","Clones plugin Paper abundantes.","SH|PG","4","Proteger bed do time (PG) vs ir kill solo.","Hypixel original 100M+ partidas","10+","Java, Paper","Minecraft","2","https://github.com/topics/bedwars","","Familiar BR.","party-multiplayer"
"hypixel-skywars-clone","SkyWars (Minecraft plugin FOSS)","2014","community","windows|mac|linux","minigame-pvp","Java","open-source","mod-loader-oficial","2","S","5","Plugin comum.","PD|SH","4","Aliança temporária vs kill everyone.","muito popular BR","10+","Java","Minecraft","2","https://github.com/topics/skywars","","PD de aliança é ouro.","party-multiplayer"
"otree-bargaining","oTree Bargaining (Rubinstein alternating offers)","2017","oTree Community","web","experiment-task","Python/Django","open-source","code-fork","2","S","5","Alternating offers com desconto por round. Implementado em tutoriais oTree.","BG","4","Barganha por pedaço de bolo que derrete: cada round a fatia encolhe (desconto visual). Aceita ou contra-proposta.","tutorial oTree, usado em labs","10+","Python, oTree","grátis","1","https://otree.readthedocs.io","","Visual do 'bolo derretendo' é naturalmente sem numeracia.","research-serious"
"jspsych-core","jsPsych (core framework)","2012","Joshua de Leeuw et al.","web|cross-platform","experiment-framework","JavaScript/HTML5","open-source","code-fork","2","XS","5","JavaScript puro, plugin-based, documentação excelente. Claude escreve timelines facilmente.","PD|PG|SH|UG|DG|TG|BG","4","Criar plugin jspsych-dilemma que mostra payoff como visual (frutas), dois botões coop/trair, log em JSON. Deploy em Pavlovia ou Cognition.run.","paper 5000+ citations; usado em centenas de labs","all-ages","JavaScript, HTML, Node opcional","grátis MIT","1","https://www.jspsych.org | https://github.com/jspsych/jsPsych","","Menos multiplayer-nativo que oTree, mas combinável com Firebase/Socket.io para sync.","research-serious"
"axelrod-python","Axelrod (Python IPD library)","2015","Vincent Knight et al.","windows|mac|linux","simulation-library","Python","open-source","code-fork","2","XS","5","Biblioteca Python para torneios iterated PD. 200+ strategies prontas.","PD","4","Rodar humano-vs-estratégia em torneio IPD, log strategies selection.","~700 stars, JOSS paper","all-ages","Python","grátis MIT","1","https://axelrod.readthedocs.io | https://github.com/Axelrod-Python/Axelrod","","Não é jogo com UI humana; é engine de torneios. Combinar com frontend.","research-serious"
"slingshot-challenge","Slingshot Challenge","2024","Jane Goodall Institute / Fortnite (UEFN)","windows|mac|playstation|xbox|switch|ios|android","collaborative","UEFN","creative-platform","creative-mode-in-game","2","S","3","UEFN Verse scripting + level design. Claude escreve Verse; humano faz assets visuais.","PG|CPG","5","JÁ É a referência PsyFun. Jogadores cooperam pra atingir alvos coletivos. Canônico pro grupo.","Fortnite UEFN, Jane Goodall co-lançado","all-ages","UEFN, Verse","grátis","2","https://www.fortnite.com/@slingshotchallenge","","Seu dolmen. Catalogado por completude.","research-serious"
"balloon-risk-task","BART - Balloon Analogue Risk Task","2002","Lejuez et al.","web|windows","experiment-task","JS/Python","open-source","code-fork","2","XS","5","Plugin jsPsych oficial. Bomba quantos vezes bombar balão.","PG","4","Versão multiplayer onde balão coletivo: cada um bomba compartilhando risco — PGG visual.","2k+ papers","10+","jsPsych","grátis","1","https://github.com/jspsych/jspsych-contrib/tree/main/packages/plugin-balloon-analogue-risk-task","","Social-BART existe em papers (Social BART, Shouls et al).","research-serious"
"igor-carpenter-gift","Gift-Exchange Game (Fehr-Kirchsteiger-Riedl)","1993","Fehr et al.","windows|web","experiment-task","z-Tree/oTree","open-source","code-fork","2","XS","5","Port oTree existe. Simples.","TG|BG","4","Worker-firm reciprocity game. Wage + effort.","paper QJE 1993 3000+ citations","18+","oTree","grátis","1","https://github.com/oTree-org","","Clássico de reciprocidade.","research-serious"
"tremors-bargaining","Nash Bargaining (oTree)","2018","oTree Community","web","experiment-task","oTree","open-source","code-fork","2","XS","5","Simple simultaneous claims.","BG","4","Cada um escreve proporção; se soma <=1, recebem; senão zero.","sample","13+","oTree","grátis","1","https://github.com/oTree-org","","Nash demand game.","research-serious"
"center-point-task","Centipede Game (oTree)","2018","oTree Community","web","experiment-task","oTree","open-source","code-fork","2","XS","5","Sample app; take vs pass iterado.","TG|BG","4","Pilha cresce a cada pass; qualquer um pode pegar tudo.","Rosenthal 1981, sample oTree","13+","oTree","grátis","1","https://github.com/oTree-org","","Backward induction didático.","research-serious"
"third-party-punishment-task","Third-Party Punishment Task (Fehr-Fischbacher)","2004","Fehr & Fischbacher","windows|web","experiment-task","z-Tree/oTree","source-available","code-fork","2","XS","5","Extensão DG com terceiro punidor.","DG|PD","4","Terceira parte observa DG e pode punir proponente ganicioso.","clássico Fehr","18+","oTree","grátis","1","","","TPP.","research-serious"
"market-entry-game","Market Entry Game","1995","Selten-Güth","windows|web","experiment-task","oTree","open-source","code-fork","2","XS","5","Entry decision sob capacidade limitada.","SD|CPG","4","N decidem entrar; capacidade c; se entrar demais, ninguém ganha.","clássico Selten","18+","oTree","grátis","1","","","Variação interessante.","research-serious"
"computercraft-tweaked","CC: Tweaked (ComputerCraft Minecraft mod)","2017","SquidDev (FOSS)","windows|mac|linux","programming-in-sandbox","Minecraft mod + Lua 5.1/5.2","open-source","scripting-in-game","2","S","5","Lua via CC API (redstone, turtles, peripherals). Código mod é MIT. Claude Code produz programas de turtle coop em minutos.","PG|CG|CPG","4","Server multiplayer onde turtles coletam madeira; programa decide depositar em chest comum (coop) ou inventário pessoal (trair). Public Goods inline.","CurseForge 40M+ downloads","7+","Minecraft Java, Forge/Fabric, Lua","Minecraft R$135","1","https://tweaked.cc/ | https://github.com/cc-tweaked/CC-Tweaked","","Fork atual do ComputerCraft abandonado","reverse-gray"
"robocode","Robocode","2001","IBM / FOSS community","windows|mac|linux","programming-battle","Java","open-source","scripting-in-game","2","S","5","API Java limpa, sandbox. Robôs são classes Java. Claude escreve robô novo trivialmente. Battles 1v1 e team battles.","PD|SH|CPG","4","Team battle 2v2 onde cada bot escolhe firepower alto (trair, mata mais rápido mas drena energia do team pool compartilhado) vs baixo (coop). Recurso compartilhado nativo se modificado.","SourceForge 3.7k estrelas; uso educacional","10+","Java JDK","gratuito","1","https://robocode.sourceforge.io/ | https://github.com/robo-code/robocode","","Educacional clássico, ideal para experimento controlado","reverse-gray"
"factorio","Factorio","2020","Wube Software","windows|mac|linux|switch","automation","Allegro custom","sdk-oficial","mod-loader-oficial","2","S","5","Lua scripting API oficial excepcional; docs stupendas; 10k+ mods no portal. Claude escreve Factorio mods com facilidade","PG|CG|SH|CPG","4","Multiplayer mod: duas fábricas compartilham pool de science packs (cooperar) ou stocado local (trair). PG escalado","Steam 97% 200k reviews, 3.5M+ copies, cult game","10+","Lua, Factorio Mod Portal","jogo R$100","1","https://store.steampowered.com/app/427520 | https://mods.factorio.com/ | https://lua-api.factorio.com/","","API de modding padrão ouro — melhor documentação da indústria","sdk-aaa"
"coup-online","Coup Online (FOSS)","2019","community","web","social-deduction-bluffing","Node.js","open-source","code-fork","2","S","5","Implementações FOSS de Coup em GitHub (clones Indie Boards IP).","TG|PD","4","Coup = bluff/challenge mecânica pura = PD. Fork FOSS, log ações e challenges","Coup BGG top 100","10+","Node.js","free (gray)","3","https://github.com/topics/coup-game","","IP gray — Indie Boards. Viável pra pesquisa acadêmica","tabletop-digital"
"hanabi-online","Hanabi (hanab.live)","2017","Zamiel (FOSS)","web","coop-card","Go + JS","open-source","code-fork","2","S","5","FOSS (GPL), Go backend + JS. Hanabi = coop puro com info assimétrica = SH/PG.","SH|PG|CPG","4","Hanabi é coordenação perfeita requerida. Fork hanab.live, log todos os clues e plays. Paper referência de IA em Hanabi (DeepMind)","~10k active, premiado Spiel des Jahres","8+","Go, JS","free","1","https://hanab.live | https://github.com/Hanabi-Live/hanabi-live","","FOSS + coop puro = excelente","tabletop-digital"
"no-thanks-online","No Thanks! (online clones)","2018","community clones","web","card","JS","open-source","code-fork","2","S","5","Clones FOSS simples. No Thanks = mecânica chip/pass = SD/PD leve (chicken sobre cartas).","SD","4","No Thanks! é Chicken nativo: pagar pra evitar carta ou esperar outro pagar. Clone FOSS JS, log decisões","BGG top 200","8+","JS","free","2","https://github.com/topics/no-thanks","","Dilema de Snowdrift nativo — raro e valioso","tabletop-digital"
"pit-online","Pit (card game online clones)","","community","web","commodity-trading","JS","open-source","code-fork","2","S","5","Pit é jogo de card trading simultâneo, FOSS clones em GitHub.","BG","4","Pit = comércio frenético paralelo = BG multi-party real-time. Fork clone e log","Pit BGG mid","7+","JS","free","2","https://github.com/topics/pit-game","","Trading real-time = BG nativo","tabletop-digital"
"mafia-online-generic","Mafia (generic online implementations)","","community","web","social-deduction","varia","open-source","code-fork","2","S","5","Várias impls FOSS de Mafia/Werewolf generic. Simples de forkar.","PD|TG","4","Clone FOSS Mafia, log tudo. Controle experimental de roles e info assimétrica","Mafia é universal","13+","Node.js","free","1","https://github.com/topics/mafia-game","","Reliable baseline pra social deduction","tabletop-digital"
"devilutionx","DevilutionX","2019","Diasurgical (Blizzard original)","windows|mac|linux|android|switch","arpg","C++ / SDL2","open-source","code-fork","3","M","3","Sublicence MIT, código C++ decente, multiplayer coop nativo (4p); dilema em loot distribution é clássico","PD|DG|UG|BG","5","Modificar loot drop pra pool compartilhado: cada item cai no centro, jogador escolhe pegar pra si (trair) ou deixar pro aliado (cooperar). Dictator Game em loot","GitHub 9k+ stars, 100k+ downloads","16+","C++17, SDL2, assets originais Diablo 1 MPQ","R$50 (GOG); engine grátis","2","https://github.com/diasurgical/devilutionX","","ÓTIMO candidato: multiplayer + loot natural pra DG/UG","classic-reimpl"
"roblox-jailbreak","Jailbreak","2017","Badimo","windows|mac|android|ios|xbox","cops-and-robbers","Roblox Engine","creative-platform","creative-mode-in-game","3","M","3","Clone de cops-and-robbers com veículos e assaltos é esforço M (assets veiculares). Conceito binário coop/trair é natural.","PD|SH|SD","5","Mod: dupla de ladrões pode dividir loot meio-a-meio (coop) ou um pode roubar tudo antes da fuga (trair) — PD perfeito.","8B+ visitas, jogo AAA de Roblox","10+","Roblox Studio, Luau, modelagem 3D básica","grátis","2","https://www.roblox.com/games/606849621/Jailbreak","","","creative-platforms"
"fortnite-among-us-impostor","Impostors (Fortnite Creative LTM)","2021","Epic Games","windows|mac|playstation|xbox|switch|android|ios","social-deduction","UEFN / Verse","creative-platform","creative-mode-in-game","3","M","3","Epic já fez Impostors oficial; muitos clones UEFN existem. Recriar com mecânica coop/trair adicionada é viável em Verse.","PD|SH|TG","5","Variante Impostors: traidor tem botão 'sabotar' que dá bônus individual mas pode ser detectado. Logging de timing da decisão.","Impostors modo oficial tinha milhões de jogadores 2021","12+","UEFN, Verse","grátis","2","https://create.fortnite.com","","Várias Islands UEFN clonam Among Us.","creative-platforms"
"screeps-world","Screeps: World","2016","Screeps LLC","windows|mac|linux|web","mmo-rts-programming","Node.js server + JS VM in-game","sdk-oficial","scripting-in-game","3","M","5","Jogo inteiro é programar bots JS/TS em API documentada. Zero reverse engineering; Claude Code escreve colony AI nativamente. Private server 'Screeps Arena' também FOSS.","PG|CG|CPG|PD","4","Em Screeps Arena pode-se scriptar creeps que escolhem minerar recurso comum (cooperar) ou atacar creep alheio em território compartilhado (trair) — Commons direto com script puro.","Steam 91% 3k reviews, nicho mas culto","13+","JavaScript/TypeScript, Node, API Screeps","Steam R$70 única","1","https://screeps.com | https://store.steampowered.com/app/464350 | https://docs.screeps.com/","","Arena é variante competitiva; World é MMO persistente","creative-platforms|reverse-gray"
"uefn-among-us-clones","Fortnite Impostors-like islands (UEFN)","2023","Comunidade UEFN","windows|mac|playstation|xbox|switch|android|ios","social-deduction","UEFN / Verse","creative-platform","creative-mode-in-game","3","M","3","Sample templates disponíveis no Epic Dev, ajustes Verse requerem iteração.","PD|SH|TG","5","Ilha tipo Among Us com instrumentação de decisões cooperativas.","dezenas de ilhas UEFN bem rankeadas","12+","UEFN, Verse","grátis","2","https://create.fortnite.com","","","creative-platforms"
"screeps-scripting","Screeps (JS MMO scripting)","2014","Screeps LLC","web","rts-programming","Node + JS scripting","source-available","scripting-in-game","3","M","5","API JS ótima, Claude domina. Jogo = escrever IA.","PG|CG|PD","4","Clans de creeps: script decide cooperar (compartilhar energia) ou trair (acumular).","nicho mas ~500k usuários","13+","JS","$15 Steam","2","https://screeps.com | https://github.com/screeps/screeps","","Server source aberto para self-host grátis","html5-web"
"anyland-reference","Screeps alternativa: EveJS","2020","community","web","programming-game","JS","open-source","scripting-in-game","3","M","5","Programming games em JS são ideais pra Claude.","PG|PD","4","Bots cooperam ou competem.","nicho","13+","JS","grátis","1","https://github.com/topics/programming-game","","Gênero ideal pra Claude","html5-web"
"empire-of-code","Empire of Code (CodeCombat alternative)","2015","community","web","programming-game","JS","source-available","scripting-in-game","3","S","5","Scripting de unidades em JS.","PG|PD","4","Alianças entre bots.","nicho","13+","JS","grátis","2","https://empireofcode.com","","Semi-closed","html5-web"
"phaser-tank-multiplayer","Phaser Multiplayer Tank Arena","2019","HuRuey (tutorial)","web","multiplayer-shooter","Phaser + Socket.IO","open-source","code-fork","3","S","5","Tutorial completo de arena multiplayer. MIT.","PG|PD","4","Teams com recurso comum de saúde/munição.","nicho","10+","Phaser, Node","grátis","1","https://github.com/huruey/phaser-multiplayer-game","","Base ótima","html5-web"
"battlesnake","Battlesnake (web AI battle)","2019","Battlesnake","web","programming-game","Various backends, web rendering","open-source","scripting-in-game","3","M","5","Plataforma open-source, escrevem bots em qualquer linguagem. Claude domina.","CG|PD","4","Estratégias multi-snake coop/trair.","5k+ jogadores, Twitch streamed","13+","qualquer linguagem web","grátis","1","https://github.com/BattlesnakeOfficial | https://play.battlesnake.com","","Excelente pra IA bots","html5-web"
"space-station-13","Space Station 13 (itch forks)","2003","varias comunidades (tgstation, etc)","windows","social-deduction","BYOND/DM","open-source","code-fork","3","M","3","AGPL3, DM linguagem obscura mas documentada. tgstation GitHub.","PD|TG","5","Traitor round já é PD nativo. Mod pra logging estruturado.","100k+ players rotativos","13+","BYOND, DM","gratuito","2","https://spacestation13.com/ | https://github.com/tgstation/tgstation","","TOP PICK — traitor rounds já são dilemas sociais","itch-source"
"shattered-plans","Shattered Plans (jam 4x)","2019","jam","windows|linux","4x","Godot","open-source","code-fork","3","M","5","Godot GDScript","PG|BG","4","Trade diplo binário","jam","12+","Godot","gratuito","1","https://itch.io/games/tag-4x/tag-godot","","","itch-source"
